path,has_ordered_layout,has_ungrouped_widgets,has_all_title_case_groups,has_overview_section,about_section_contains_text,about_section_contains_banner_img,total_query_values,query_values_have_timeseries_background,query_values_have_conditional_formats,total_widgets_legends,widgets_legends_shown
ray/assets/dashboards/overview_dashboard.json,True,False,False,True,False,True,2,2,0,14,12
apache/assets/dashboards/apache_dashboard.json,False,True,True,False,False,False,0,0,0,0,0
cisco_aci/assets/dashboards/cisco_aci_dashboard.json,True,False,False,True,False,False,5,0,0,6,4
palo_alto_panorama/assets/dashboards/palo_alto_panorama_user_id.json,True,True,True,False,False,False,0,0,0,0,0
palo_alto_panorama/assets/dashboards/palo_alto_panorama_tunnel_inspection.json,True,True,True,False,False,False,0,0,0,0,0
palo_alto_panorama/assets/dashboards/palo_alto_panorama_globalprotect.json,True,True,True,False,False,False,0,0,0,0,0
palo_alto_panorama/assets/dashboards/palo_alto_panorama_threat.json,True,True,True,False,False,False,0,0,0,0,0
palo_alto_panorama/assets/dashboards/palo_alto_panorama_decryption.json,True,True,True,False,False,False,0,0,0,0,0
palo_alto_panorama/assets/dashboards/palo_alto_panorama_system.json,True,True,True,False,False,False,0,0,0,0,0
palo_alto_panorama/assets/dashboards/palo_alto_panorama_traffic.json,True,True,True,False,False,False,0,0,0,0,0
palo_alto_panorama/assets/dashboards/palo_alto_panorama_correlated_events.json,True,True,True,False,False,False,0,0,0,0,0
palo_alto_panorama/assets/dashboards/palo_alto_panorama_authentication.json,True,True,True,False,False,False,0,0,0,0,0
palo_alto_panorama/assets/dashboards/palo_alto_panorama_hip_match.json,True,True,True,False,False,False,0,0,0,0,0
palo_alto_panorama/assets/dashboards/palo_alto_panorama_config.json,True,True,True,False,False,False,0,0,0,0,0
torchserve/assets/dashboards/overview.json,True,False,False,True,False,True,3,3,0,16,16
spark/assets/dashboards/spark_dashboard.json,False,True,True,False,False,False,0,0,0,0,0
spark/assets/dashboards/databricks_overview.json,True,False,False,True,True,True,4,0,0,14,0
singlestore/assets/dashboards/overview.json,True,False,True,True,False,True,1,0,1,8,8
openai/assets/dashboards/overview_dashboard.json,True,False,False,True,False,False,8,3,0,13,13
openai/assets/dashboards/usage_overview_dashboard.json,True,False,True,True,False,False,3,3,0,2,2
vault/assets/dashboards/vault_overview_legacy.json,True,True,True,True,True,True,6,0,5,14,13
vault/assets/dashboards/vault_overview.json,True,False,True,True,True,True,6,0,5,14,13
haproxy/assets/dashboards/prometheus_overview.json,False,True,True,False,False,False,0,0,0,0,0
haproxy/assets/dashboards/overview.json,True,False,False,True,True,True,2,0,1,13,11
haproxy/assets/dashboards/openmetrics_overview.json,False,True,True,False,False,False,0,0,0,0,0
couchbase/assets/dashboards/couchbase_dashboard.json,True,True,True,False,False,False,0,0,0,0,0
strimzi/assets/dashboards/overview.json,True,False,False,True,False,True,1,1,0,28,28
cisco_sdwan/assets/dashboards/cisco_sd-wan.json,True,False,False,True,False,False,11,8,10,13,0
