metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
couchdb.erlang.memory.atom_used,gauge,,byte,,,0,couchdb2,
couchdb.erlang.memory.other,gauge,,byte,,,0,couchdb2,
couchdb.erlang.memory.code,gauge,,byte,,,0,couchdb2,
couchdb.erlang.memory.binary,gauge,,byte,,,0,couchdb2,
couchdb.erlang.memory.atom,gauge,,byte,,,0,couchdb2,
couchdb.erlang.memory.processes,gauge,,byte,,,0,couchdb2,
couchdb.erlang.internal_replication_jobs,gauge,,,,,0,couchdb2,
couchdb.erlang.distribution.recv_cnt,gauge,,,,,0,couchdb2,
couchdb.erlang.distribution.send_pend,gauge,,,,,0,couchdb2,
couchdb.erlang.distribution.recv_avg,gauge,,,,,0,couchdb2,
couchdb.erlang.distribution.send_avg,gauge,,,,,0,couchdb2,
couchdb.erlang.distribution.recv_dvi,gauge,,,,,0,couchdb2,
couchdb.erlang.distribution.send_cnt,gauge,,,,,0,couchdb2,
couchdb.erlang.distribution.send_max,gauge,,,,,0,couchdb2,
couchdb.erlang.distribution.recv_max,gauge,,,,,0,couchdb2,
couchdb.erlang.distribution.send_oct,gauge,,,,,0,couchdb2,
couchdb.erlang.distribution.recv_oct,gauge,,,,,0,couchdb2,
couchdb.erlang.ets_table_count,gauge,,,,,0,couchdb2,
couchdb.erlang.io_output,gauge,,,,,0,couchdb2,
couchdb.erlang.os_proc_count,gauge,,,,,0,couchdb2,
couchdb.erlang.garbage_collection_count,gauge,,,,,0,couchdb2,
couchdb.erlang.process_count,gauge,,,,,0,couchdb2,
couchdb.active_tasks.replication.doc_write_failures,gauge,,error,,Failed docs written while replicating,-1,couchdb2,
couchdb.active_tasks.replication.docs_read,gauge,,document,,Docs read while replicating,0,couchdb2,
couchdb.active_tasks.replication.docs_written,gauge,,document,,Docs written while replicating,0,couchdb2,
couchdb.active_tasks.replication.missing_revisions_found,gauge,,,,Missing revisions,0,couchdb2,
